PBO Assigned To,Address
BFC (Kirk Rd),1051 N Kirk RD
C & F Forge,1243 N Kirk RD
Flint Group,1333 N Kirk RD
Vacant,1401 N Kirk RD
Waste Management,1435 Lathem ST
AJ Bohr Roofing,1533 Lathem ST
Oscar Newman,1550 Hubbard AVE
Urban MicroGardens,1550 Hubbard AVE
Trinity Chapel,404 Lathem ST
Amcor,475 N Kirk RD
ExtraSpace Storage,500 N Kirk RD
Brasel Products,715 Hunter DR
Material Flow Technology,725 Hunter DR
The Auto Clinic,735 Hunter DR
Accurate Wheel,745 Hunter DR
Veolia Waste Service (Transfer Station),766 Hunter DR
Waste Management,780 N Kirk RD
Great Guys,1183 Pierson DR
Motive Archive LLC,1183 Pierson DR
Elgin medi transport,1183 Pierson DR
Vacant,1183 Pierson DR
Air Choice,1183 Pierson DR
OMG Autos,1183 Pierson DR
Bull Motorcycles,1183 Pierson DR
K Turbo,1183 Pierson DR
MOTIVE ARCHIVE LLC,1183 Pierson DR
KRISTINE MOTORS,1183 Pierson DR
GENEVA TOWNSHIP HIGHWAY DEPT,1183 Pierson DR
Dos Bros Garage,1183 Pierson DR
Bowtique Emilee LLC,1183 Pierson DR
MOTIVE ARCHIVE LLC,1183 Pierson DR
715 Vintage,715 Main ST
K.B. Kustom Remodelers & Cabinets,715 Main ST
Barco Products,717 Main ST
Action Auto Repair Services,750 Main ST
Steve Pederson,756 Main ST
Steve Pederson,758 Main ST
Steve Pederson,774 Main ST
Steve Pederson,780 Main ST
Bartholet Concrete Construction,786 Main ST
Barco Products,801 Main ST
Advanced Compressor Technology,1400 Louis Bork DR
Urban Apotherapy,104 First ST
River West Fitness Center,108 First ST
Batavia Animal Clinic,135 First ST
Batavia Animal Clinic,137 First ST
"Batavia Animal Clinic, Ltd.",139 First ST
Batavia Enterprises,140 First ST
Kane County OCR,143 First ST
Artist Touch Inc.,150 First ST
Miscella Real Estate,150 First ST
Hearth & Hammer,160 First ST
Kiss the Sky,180 First ST
DNI,1502 Louis Bork DR
Vacant,101 S Batavia AVE
Marberry Cleaners & Launderers,102 S Batavia AVE
Vacant,108 S Batavia AVE
JT's Tavern,113 S Batavia AVE
Coast Hair Salon LLC,115 S Batavia AVE
Apartments - Moser,117 S Batavia AVE
"Carlisle Foods (IE Proex, Inc.)",1011 Olympic DR
3E Love,1020 Olympic DR
SCP,1020 Olympic DR
The Carlson Group,1198 Nagel BLVD
Hobi International,1202 Nagel BLVD
The Carlson Group,1206 Nagel BLVD
Boyce Body Werks,1240 Nagel BLVD
GWS Tool Group,1251 Nagel BLVD
TEAM Technologies,1300 Nagel BLVD
Summit Metal Products Inc,1351 Nagel BLVD
"Master Impressions, Inc.",1380 Nagel BLVD
H.F. Wilson,1401 Nagel BLVD
Shell Building,1425 Nagel BLVD
Pamarco,1475 Nagel BLVD
Jehovah's Witness Kingdom Hall,649 Madison ST
Thrown Threads,125 S Batavia AVE
The Well Within,129 S Batavia AVE
Mill Creek Daycare,130 S Batavia AVE
Charlie Fox's Pizza,131 S Batavia AVE
Right At Home Staffing Services,133 S Batavia AVE
Gosselin Law PC,133 S Batavia AVE
Apartments,137 S Batavia AVE
Woof Wash,137 S Batavia AVE
J DeCarlo Salon & Spa,139 S Batavia AVE
"West DuPage Cabinets, Granite and Floor",143 S Batavia AVE
Moss Family Funeral Home,209 S Batavia AVE
Calvary Episcopal Church,222 S Batavia AVE
Allen Davis Technology,223 S Batavia AVE
